순위,관광지명,상세주소,중분류 카테고리,소분류 카테고리
"1","오송역","충북 청주시 흥덕구 오송읍 봉산리 149-3","기타관광지","기차역"
"2","청주국제공항","충북 청주시 청원구 내수읍 입상리 5-1","기타관광지","공항"
"3","대청댐전망대","충북 청주시 상당구 문의면 덕유리 629-12","기타관광지","전망대"
"4","떼제베CC","충북 청주시 흥덕구 옥산면 동림리 53","레포츠(육상/해상/항공)","골프장"
"5","롯데아울렛 청주점","충북 청주시 흥덕구 비하동 811","쇼핑","쇼핑센터"
"6","청주시외버스터미널","충북 청주시 흥덕구 가경동 1449","기타관광지","버스터미널"
"7","오창호수공원","충북 청주시 청원구 오창읍 양청리","자연관광지","공원"
"8","도담삼봉","충북 단양군 매포읍 하괴리 85-1","기타관광지","관광명소기타"
"9","활옥동굴","충북 충주시 목벌동 319","자연관광지","동굴"
"10","진천농다리","충북 진천군 초평면 화산리 601-32","역사관광지","문화유적지"
"11","상당산성","충북 청주시 상당구 산성동 28-1","역사관광지","성"
"12","산막이옛길","충북 괴산군 칠성면 사은리 546-1","기타관광지","관광명소기타"
"13","단양구경시장","충북 단양군 단양읍 도전리 615","쇼핑","재래시장"
"14","문암생태공원","충북 청주시 흥덕구 문암동 100","자연관광지","공원"
"15","청풍호반케이블카","충북 제천시 청풍면 물태리 98-2","기타관광지","관광명소기타"
"16","대영힐스CC","충북 충주시 대소원면 만정리 38","레포츠(육상/해상/항공)","골프장"
"17","청남대","충북 청주시 상당구 문의면 신대리 26-1","기타관광지","관광명소기타"
"18","진양밸리골프클럽","충북 음성군 삼성면 양덕리 710","레포츠(육상/해상/항공)","골프장"
"19","골프존카운티화랑","충북 진천군 문백면 평산리 531","레포츠(육상/해상/항공)","골프장"
"20","히든밸리GC","충북 진천군 백곡면 갈월리 22-1","레포츠(육상/해상/항공)","골프장"
"21","임페리얼레이크CC","충북 충주시 금가면 월상리 89","레포츠(육상/해상/항공)","골프장"
"22","레인보우힐스CC","충북 음성군 생극면 생리 14-1","레포츠(육상/해상/항공)","골프장"
"23","고수동굴","충북 단양군 단양읍 고수리 130","자연관광지","동굴"
"24","썬밸리CC","충북 음성군 삼성면 대사리 500-16","레포츠(육상/해상/항공)","골프장"
"25","센테리움CC","충북 충주시 노은면 신효리 81","레포츠(육상/해상/항공)","골프장"
"26","청주고속버스터미널","충북 청주시 흥덕구 가경동 1416","기타관광지","버스터미널"
