순위,관광지명,상세주소,중분류 카테고리,소분류 카테고리
"1","호미곶해맞이광장","경북 포항시 남구 호미곶면 대보리 221","기타관광지","관광명소기타"
"2","첨성대","경북 경주시 황남동 118-4","역사관광지","문화유적지"
"3","불국사","경북 경주시 진현동 15-1","역사관광지","절"
"4","영일대해수욕장","경북 포항시 북구 두호동","자연관광지","해수욕장"
"5","죽도시장","경북 포항시 북구 죽도동 2-4","쇼핑","재래시장"
"6","석굴암","경북 경주시 진현동 999","역사관광지","문화유적지"
"7","경주월드","경북 경주시 천군동 191-5","휴양관광지","테마파크"
"8","문경새재","경북 문경시 문경읍 상초리 288-1","역사관광지","문화유적지"
"9","동궁과월지","경북 경주시 인왕동 506-1","역사관광지","문화유적지"
"10","보문관광단지","경북 경주시 신평동 375","기타관광지","관광단지"
"11","김천구미역","경북 김천시 남면 옥산리 790","기타관광지","기차역"
"12","문무대왕릉","경북 경주시 양북면 봉길리","역사관광지","능묘"
"13","국립경주박물관","경북 경주시 인왕동 76","문화시설","박물관/기념관"
"14","안동하회마을","경북 안동시 풍천면 하회리 844-3","역사관광지","고택/생가/민속마을"
"15","칠포해수욕장","경북 포항시 북구 흥해읍 칠포리","자연관광지","해수욕장"
"16","경주양남주상절리","경북 경주시 양남면 읍천리","기타관광지","관광명소기타"
"17","월영교","경북 안동시 상아동","기타관광지","관광명소기타"
"18","포항역","경북 포항시 북구 흥해읍 이인리 137-1","기타관광지","기차역"
"19","주왕산국립공원","경북 청송군 주왕산면 상의리 406","자연관광지","국/도립공원"
"20","구미역","경북 구미시 원평동 1008-1","기타관광지","기차역"
"21","부석사","경북 영주시 부석면 북지리 148","역사관광지","절"
"22","주산저수지","경북 청송군 주왕산면 주산지리 73","자연관광지","저수지"
"23","영덕해맞이공원","경북 영덕군 영덕읍 창포리 5-5","자연관광지","공원"
"24","화랑의언덕","경북 경주시 산내면 내일리 261-1","기타관광지","관광명소기타"
"25","대릉원","경북 경주시 황남동 33","역사관광지","능묘"
"26","신경주역","경북 경주시 건천읍 화천리 1010","기타관광지","기차역"
"27","안동터미널","경북 안동시 송현동 713-6","기타관광지","버스터미널"
"28","그레이스CC","경북 청도군 이서면 각계리 426-1","레포츠(육상/해상/항공)","골프장"
"29","고래불해수욕장","경북 영덕군 병곡면 병곡리","자연관광지","해수욕장"
"30","경주중앙시장","경북 경주시 성건동 339-2","쇼핑","종합시장"
"31","경주시외버스터미널","경북 경주시 노서동 160-2","기타관광지","버스터미널"
"32","운문사","경북 청도군 운문면 신원리 1789","역사관광지","절"
"33","경주CC","경북 경주시 북군동 375-1","레포츠(육상/해상/항공)","골프장"
"34","월포해수욕장","경북 포항시 북구 청하면 월포리","자연관광지","해수욕장"
"35","후포항","경북 울진군 후포면 후포리 581-65","자연관광지","항구"
"36","화진해수욕장","경북 포항시 북구 송라면 지경리 334","자연관광지","해수욕장"
"37","갓바위","경북 경산시 와촌면 대한리 44","역사관광지","문화유적지"
